itemCode,itemName,purchasePrice,stockQuantity,taxRate,taxInclusive
F9YWZB,VENKYS PET SPARK,0,100,GST@18%,N
ZY467X,venkys sensium powder,0,100,GST@18%,N
MVWNUZ,VENKYS VENCALP 1 Liltre,440,100,GST@18%,N
IKM759,Venkys Vencalp 200ml,190,100,GST@18%,N
UH98C1,VENKYS VENTRIPET,0,100,GST@18%,N
G9K51T,venkys ventripro powder,0,100,GST@18%,N
E4H7ZS,Whiskas Adult 480gm Ocean Fish,180,100,GST@18%,N
ZL2575,Whiskas Adult 50gm,17.66,100,GST@18%,N
P95TC9,Whiskas Adult Mackerel 3kg,603.86,100,GST@18%,N
O2F4YG,Whiskas Adult Mackerel 7kg,1271.28,100,GST@18%,N
BP876I,Whiskas Adult Ocean Fish 1.2kg,289.57,100,GST@18%,N
DEY62P,Whiskas Adult Ocean Fish 3kg,603.86,100,GST@18%,N
HP2SH8,Whiskas Adult Ocean Fish 7kg,1271.28,100,GST@18%,N
Z485U3,Whiskas Adult Ocean Fish Gravy,24.71,100,GST@18%,N
H7JAKH,Whiskas Adult Salmon Gravy,24.71,100,GST@18%,N
Z66JGY,Whiskas Adult Tuna 3kg,603.86,100,GST@18%,N
L225V8,Whiskas Adult Tuna 7kg,1271.28,100,GST@18%,N
E34X15,Whiskas Adult Tuna Jelly,24.71,100,GST@18%,N
CXHSWS,Whiskas Chicken Adult Gravy,24.71,100,GST@18%,N
UV37H8,Whiskas Chicken Kitten Gravy,24.71,100,GST@18%,N
WC78LW,Whiskas Junior 1.1kg,271.91,100,GST@18%,N
OVEK9P,Whiskas Junior 450gm,127.13,100,GST@18%,N
M8282M,Whiskas Junior 50gm,17.66,100,GST@18%,N
QJ2344,Whiskas Junior Ocean Fish 3kg,603.86,100,GST@18%,N
TBPK14,Whiskas Kitten Tuna Jelly,24.71,100,GST@18%,N
U2BZI8,WHISKAS TM CHICKEN SALMON,24.72,100,GST@18%,N
B74XU1,WHISKAS TM CHICKEN TUNA,24.72,100,GST@18%,N
V1CY88,WHISKAS TM KAIKAMA,24.72,100,GST@18%,N
HNTH71,WHISKAS TM SEAFOOD COCKTAIL,24.72,100,GST@18%,N
QDX564,zoivane 3 in 1 deodorising detangling spray,400,100,GST@18%,N
ILOW7P,zoivane 4 in 1 dog shampoo,290,100,GST@18%,N
R7EPRV,zoivane aloe nature shampoo 200ml,122.45,100,GST@18%,N
A74F26,zoivane Anti Dandruff Shampoo 200ml,122.45,100,GST@18%,N
HS6V52,Zoivane Bandana Cotton,200,100,GST@18%,N
TTVB91,ZOIVANE CAT SMOOTH AND SHINE,290,100,GST@18%,N
RI5EV9,ZOIVANE DOG COAT NOURISER,290,100,GST@18%,N
VMZ2Q7,ZOIVANE DOG EXTRA WHITE 5 IN1,290,100,GST@18%,N
M92O63,ZOIVANE DOG SMOOTH & SHINE,290,100,GST@18%,N
EO6YU2,Zoivane Lavender Dry Bath,390,100,GST@18%,N
V125J5,Zoivane Pet Wipe pack of 5,490,100,GST@18%,N
WI27Z1,zoivane potty training spray,400,100,GST@18%,N
GNK9Q4,Zoivane Regular Powder,240,100,GST@18%,N
AB6JL6,Zoivane Tick & Flea Dry bath,0,100,GST@18%,Y
OI2ITG,Zoivane Tick and flea powder,240,100,GST@18%,N
R9MS9H,Zoivane Tick and flea shampoo,290,100,GST@18%,N
I733T4,Zoivane Tick and flea spray,400,100,GST@18%,N
